FechaPrimeraPublicacion,Autor,conteo,porcentaje
2017-01-01,V. E. Schwab,1,0.42
2018-01-01,Alice Oseman,2,0.84
2018-01-01,Becky Albertalli,2,0.84
2018-01-01,Jennifer L. Armentrout,2,0.84
2018-01-01,Marissa Meyer,2,0.84
2018-01-01,Sara Holland,2,0.84
2018-01-01,Adrienne Young,1,0.42
2018-01-01,Alexandra Christo,1,0.42
2018-01-01,Alice Kellen,1,0.42
2018-01-01,Belen Kaplan,1,0.42
2018-01-01,Claudia Ramírez Lomelí,1,0.42
2018-01-01,Ernshaw Shea,1,0.42
2018-01-01,Kiersten White,1,0.42
2018-01-01,Leah Konen,1,0.42
2018-01-01,Mackenzi Lee,1,0.42
2018-01-01,Rebecca   Ross,1,0.42
2018-01-01,Samantha Young,1,0.42
2018-01-01,T.J. Klune,1,0.42
2018-01-01,Tahereh Mafi,1,0.42
2018-01-01,Victoria Schwab,1,0.42
2019-01-01,Alice Oseman,2,0.84
2019-01-01,Alyssa Wees,1,0.42
2019-01-01,Casey McQuiston,1,0.42
2019-01-01,Marcus Joana,1,0.42
2019-01-01,Marissa Meyer,1,0.42
2019-01-01,O Leary Beth,1,0.42
2019-01-01,Victoria Schwab,1,0.42
2020-01-01,Alice Oseman,2,0.84
2020-01-01,Jennifer L. Armentrout,2,0.84
2020-01-01,T.J. Klune,2,0.84
2020-01-01,Adam Silvera,1,0.42
2020-01-01,Becky Albertalli,1,0.42
2020-01-01,Esther Sanz,1,0.42
2020-01-01,Marcus Joana,1,0.42
2020-01-01,Marissa Meyer,1,0.42
2020-01-01,V. E. Schwab,1,0.42
2021-01-01,Alice Oseman,2,0.84
2021-01-01,Ali Hazelwood,1,0.42
2021-01-01,C.S. Pacat,1,0.42
2021-01-01,Casey McQuiston,1,0.42
2021-01-01,Elle Kennedy,1,0.42
2021-01-01,Erin Sterling,1,0.42
2021-01-01,Jennifer L. Armentrout,1,0.42
2021-01-01,Tessa Bailey,1,0.42
2022-01-01,Ali Hazelwood,1,0.42
2022-01-01,Black Holly,1,0.42
2022-01-01,Taylor Jenkins Reid,1,0.42
2022-01-01,V. E. Schwab,1,0.42
2023-01-01,Ali Hazelwood,1,0.42
2023-01-01,Rebecca Yarros,1,0.42
2024-01-01,Black Holly,1,0.42
2024-01-01,Rebecca Yarros,1,0.42
2025-01-01,Rebecca Yarros,1,0.42
