Libro,Genero,Autor,Editorial,Paginas,Estado,EsSerie,Serie,Volume
Noche de luna larga,Contemporaneo,Gloria V. Casañas,Buenos Aires: Plaza & Janés,272,Leído,Autoconclusivo,No aplica,
Lady Susan,Clásico,Jane Austen,Debolsillo,142,No leído,Autoconclusivo,No aplica,
Mansfield Park,Clásico,Jane Austen,Debolsillo,477,No leído,Autoconclusivo,No aplica,
Orgullo y prejuicio,Clásico,Jane Austen,Debolsillo,376,No leído,Autoconclusivo,No aplica,
Persuasión,Clásico,Jane Austen,Debolsillo,241,No leído,Autoconclusivo,No aplica,
Sensatez y sentimientos,Clásico,Jane Austen,Debolsillo,309,No leído,Autoconclusivo,No aplica,
Pulsaciones,Clásico,Javier Ruescas,Ediciones SM,200,No leído,Serie,Pulsaciones,1
Latidos,Contemporaneo,Javier Ruescas,Ediciones SM,224,Leído,Serie,Pulsaciones,2
Los dos amores de mi vida,Contemporaneo,Taylor Jenkins Reid,EDICIONES URANO S.A.,320,No leído,Autoconclusivo,No aplica,
El regreso de Carrie Soto,Contemporaneo,Taylor Jenkins Reid,EDICIONES URANO S.A.,384,No leído,Autoconclusivo,No aplica,
La estrella mas oscura,Fantasia,Jennifer L. Armentrout,Puck,427,No leído,Autoconclusivo,No aplica,
Un reino de carne y fuego,Fantasia,Jennifer L. Armentrout,EDICIONES URANO S.A.,800,No leído,Autoconclusivo,No aplica,
Una corona de huesos dorados,Fantasia,Jennifer L. Armentrout,EDICIONES URANO S.A.,800,No leído,Autoconclusivo,No aplica,
De sangre y ceniza,Fantasia,Jennifer L. Armentrout,EDICIONES URANO S.A.,672,No leído,Autoconclusivo,No aplica,
Como el hielo,Contemporaneo,Jennifer L. Armentrout,Titania,256,Leído,Serie,Frigid,1
Opal,Fantasia,Jennifer L. Armentrout,Plataforma Neo,424,Leído,Serie,Lux,3
Oblivion,Fantasia,Jennifer L. Armentrout,Plataforma Neo,372,Leído,Serie,Lux,1
Obsidian,Fantasia,Jennifer L. Armentrout,Plataforma Neo,446,Leído,Serie,Lux,1
Onyx,Fantasia,Jennifer L. Armentrout,Plataforma Neo,420,Leído,Serie,Lux,2
Opposition,Fantasia,Jennifer L. Armentrout,Plataforma Neo,376,Leído,Serie,Lux,5
Origin,Fantasia,Jennifer L. Armentrout,Plataforma Neo,408,Leído,Serie,Lux,4
Shadows,Fantasia,Jennifer L. Armentrout,Plataforma Neo,250,No leído,Autoconclusivo,No aplica,
El destino de Violet y Luke,Contemporaneo,Jessica Sorensen,Oz Editorial,304,No leído,Serie,The Coincidence,3
El secreto de Callie y Kayden,Contemporaneo,Jessica Sorensen,Oz Editorial,288,No leído,Serie,The Coincidence,2
La coincidencia de Callie y Kayden,Contemporaneo,Jessica Sorensen,Oz Editorial,336,No leído,Serie,The Coincidence,1
César Cascabel,Clásico,Jules Verne,RBA Coleccionables,447,No leído,Autoconclusivo,No aplica,
"A Sir Phillip, con amor",Contemporaneo,Julia Quinn,Titania,288,Leído,Autoconclusivo,No aplica,
El Corazon De Una Bridgerton,Contemporaneo,Julia Quinn,Titania,320,Leído,Autoconclusivo,No aplica,
Seduciendo a Mr. Bridgerton,Contemporaneo,Julia Quinn,Titania,352,Leído,Serie,Bridgertons,4
El duque y yo,Contemporaneo,Julia Quinn,Titania,320,Leído,Autoconclusivo,No aplica,
Te doy mi corazón,Contemporaneo,Julia Quinn,Titania,352,Leído,Autoconclusivo,No aplica,
El Vizconde Que Me Amo,Contemporaneo,Julia Quinn,Laberinto,352,Leído,Autoconclusivo,No aplica,
Just the Sexiest Man Alive,Contemporaneo,Julie James,Berkley,296,Leído,Autoconclusivo,No aplica,
Love Irresistibly,Contemporaneo,Julie James,Berkley,304,Leído,Autoconclusivo,No aplica,
Something About You,Contemporaneo,Julie James,Berkley,336,Leído,Autoconclusivo,No aplica,
Claudio Bombarnac,Clásico,Julio Verne,RBA Coleccionables,238,No leído,Autoconclusivo,No aplica,
Héctor Servadac,Clásico,Julio Verne,RBA Coleccionables,442,No leído,Autoconclusivo,No aplica,
Las tribulaciones de un chino en China,Clásico,Julio Verne,RBA Coleccionables,398,No leído,Autoconclusivo,No aplica,
Los náufragos del Jonathan,Clásico,Julio Verne,RBA Coleccionables,445,No leído,Serie,The Extraordinary Voyages,60
Segunda patria,Clásico,Julio Verne,RBA Coleccionables,350,No leído,Autoconclusivo,No aplica,
Un capitán de 15 años,Clásico,Julio Verne,RBA Coleccionables,398,No leído,Autoconclusivo,No aplica,
La Esfinge de Los Hielos,Clásico,Julio Verne,RBA Coleccionables,382,No leído,Autoconclusivo,No aplica,
Un billete de lotería,Clásico,Julio Verne,RBA Coleccionables,332,No leído,Autoconclusivo,No aplica,
